TALX,TALY,TALZ,BA,MNIX,MNIY,MNIZ
-58,8,-24,Outside defined BAs,-60,14,-31
-56,8,-24,Outside defined BAs,-58,14,-31
-54,8,-24,Outside defined BAs,-56,14,-31
-52,8,-24,Left-Temporalpole (38),-54,14,-31
-50,8,-24,Left-Temporalpole (38),-52,14,-31
-52,10,-24,Outside defined BAs,-54,16,-31
-66,-24,-22,Outside defined BAs,-70,-21,-29
-66,-22,-22,Outside defined BAs,-70,-19,-29
-66,-20,-22,Outside defined BAs,-70,-17,-29
-60,-20,-22,Outside defined BAs,-64,-17,-29
-58,-20,-22,Outside defined BAs,-62,-17,-29
-56,-20,-22,Left-InfTempGyrus (20),-60,-17,-29
-54,-20,-22,Left-InfTempGyrus (20),-58,-17,-29
-66,-18,-22,Outside defined BAs,-70,-15,-29
-64,-18,-22,Outside defined BAs,-68,-15,-29
-62,-18,-22,Outside defined BAs,-66,-15,-29
-60,-18,-22,Outside defined BAs,-64,-15,-29
-58,-18,-22,Outside defined BAs,-62,-15,-29
-56,-18,-22,Left-InfTempGyrus (20),-59,-15,-29
-54,-18,-22,Left-InfTempGyrus (20),-57,-15,-29
-52,-18,-22,Left-InfTempGyrus (20),-55,-15,-29
-50,-18,-22,Left-InfTempGyrus (20),-53,-15,-29
-48,-18,-22,Left-InfTempGyrus (20),-51,-16,-29
-66,-16,-22,Outside defined BAs,-70,-13,-29
-64,-16,-22,Outside defined BAs,-68,-13,-29
-62,-16,-22,Outside defined BAs,-65,-13,-29
-60,-16,-22,Outside defined BAs,-63,-13,-29
-58,-16,-22,Left-MedTempGyrus (21),-61,-13,-29
-56,-16,-22,Left-MedTempGyrus (21),-59,-13,-29
-54,-16,-22,Left-MedTempGyrus (21),-57,-13,-29
-52,-16,-22,Left-MedTempGyrus (21),-55,-13,-29
-50,-16,-22,Left-InfTempGyrus (20),-53,-13,-29
-48,-16,-22,Left-InfTempGyrus (20),-51,-13,-29
-66,-14,-22,Outside defined BAs,-69,-11,-29
-64,-14,-22,Outside defined BAs,-67,-11,-29
-62,-14,-22,Outside defined BAs,-65,-11,-29
-60,-14,-22,Outside defined BAs,-63,-11,-29
-58,-14,-22,Left-MedTempGyrus (21),-61,-11,-29
-56,-14,-22,Left-MedTempGyrus (21),-59,-11,-29
-54,-14,-22,Left-MedTempGyrus (21),-57,-11,-29
-52,-14,-22,Left-MedTempGyrus (21),-55,-11,-29
-50,-14,-22,Left-InfTempGyrus (20),-53,-11,-29
-48,-14,-22,Left-InfTempGyrus (20),-51,-11,-29
-46,-14,-22,Left-InfTempGyrus (20),-49,-11,-29
-66,-12,-22,Outside defined BAs,-69,-8,-29
-64,-12,-22,Outside defined BAs,-67,-9,-29
-62,-12,-22,Outside defined BAs,-65,-9,-29
-60,-12,-22,Left-MedTempGyrus (21),-63,-9,-29
-58,-12,-22,Left-MedTempGyrus (21),-61,-9,-29
-56,-12,-22,Left-MedTempGyrus (21),-59,-9,-29
-54,-12,-22,Left-MedTempGyrus (21),-57,-9,-29
-52,-12,-22,Left-InfTempGyrus (20),-55,-9,-29
-50,-12,-22,Left-InfTempGyrus (20),-53,-9,-29
-48,-12,-22,Left-InfTempGyrus (20),-51,-9,-29
-46,-12,-22,Left-InfTempGyrus (20),-49,-9,-29
-66,-10,-22,Outside defined BAs,-69,-6,-29
-64,-10,-22,Outside defined BAs,-67,-6,-29
-62,-10,-22,Outside defined BAs,-65,-6,-29
-60,-10,-22,Outside defined BAs,-63,-6,-29
-58,-10,-22,Left-MedTempGyrus (21),-61,-7,-29
-56,-10,-22,Left-MedTempGyrus (21),-59,-7,-29
-54,-10,-22,Left-MedTempGyrus (21),-57,-7,-29
-52,-10,-22,Left-InfTempGyrus (20),-55,-7,-29
-50,-10,-22,Left-InfTempGyrus (20),-53,-7,-29
-48,-10,-22,Left-InfTempGyrus (20),-51,-7,-29
-46,-10,-22,Left-InfTempGyrus (20),-48,-7,-29
-64,-8,-22,Outside defined BAs,-67,-4,-29
-62,-8,-22,Outside defined BAs,-65,-4,-29
-60,-8,-22,Outside defined BAs,-63,-4,-29
-58,-8,-22,Outside defined BAs,-61,-4,-29
-56,-8,-22,Left-Temporalpole (38),-59,-4,-29
-54,-8,-22,Left-MedTempGyrus (21),-57,-5,-29
-52,-8,-22,Left-InfTempGyrus (20),-55,-5,-29
-50,-8,-22,Left-InfTempGyrus (20),-53,-5,-29
-48,-8,-22,Left-MedTempGyrus (21),-51,-5,-29
-46,-8,-22,Left-InfTempGyrus (20),-48,-5,-29
-64,-6,-22,Outside defined BAs,-67,-2,-29
-62,-6,-22,Outside defined BAs,-65,-2,-29
-60,-6,-22,Outside defined BAs,-63,-2,-29
-58,-6,-22,Left-Temporalpole (38),-61,-2,-29
-56,-6,-22,Left-Temporalpole (38),-60,-2,-29
-54,-6,-22,Left-Temporalpole (38),-57,-2,-29
-52,-6,-22,Left-Temporalpole (38),-55,-2,-29
-50,-6,-22,Left-Temporalpole (38),-52,-3,-29
-48,-6,-22,Left-Temporalpole (38),-50,-3,-29
-46,-6,-22,Left-Temporalpole (38),-48,-3,-29
-64,-4,-22,Outside defined BAs,-68,-1,-29
-62,-4,-22,Outside defined BAs,-66,0,-29
-60,-4,-22,Outside defined BAs,-63,0,-29
-58,-4,-22,Left-Temporalpole (38),-61,0,-29
-56,-4,-22,Left-Temporalpole (38),-59,0,-29
-54,-4,-22,Left-Temporalpole (38),-57,0,-29
-52,-4,-22,Left-Temporalpole (38),-54,0,-29
-50,-4,-22,Left-Temporalpole (38),-52,0,-29
-48,-4,-22,Left-Temporalpole (38),-50,0,-29
-46,-4,-22,Left-Temporalpole (38),-48,0,-29
-64,-2,-22,Outside defined BAs,-67,2,-29
-62,-2,-22,Outside defined BAs,-65,2,-29
-60,-2,-22,Outside defined BAs,-63,2,-29
-58,-2,-22,Left-Temporalpole (38),-61,2,-29
-56,-2,-22,Left-Temporalpole (38),-58,2,-29
-54,-2,-22,Left-Temporalpole (38),-56,2,-29
-52,-2,-22,Left-Temporalpole (38),-54,2,-29
-50,-2,-22,Left-Temporalpole (38),-52,2,-29
-48,-2,-22,Left-Temporalpole (38),-50,2,-29
-46,-2,-22,Left-Temporalpole (38),-48,2,-29
-64,0,-22,Outside defined BAs,-66,5,-29
-62,0,-22,Outside defined BAs,-64,5,-29
-60,0,-22,Outside defined BAs,-62,5,-29
-58,0,-22,Left-Temporalpole (38),-60,4,-29
-56,0,-22,Left-Temporalpole (38),-58,4,-29
-54,0,-22,Left-Temporalpole (38),-56,4,-29
-52,0,-22,Left-Temporalpole (38),-54,4,-29
-50,0,-22,Left-Temporalpole (38),-52,4,-29
-48,0,-22,Left-Temporalpole (38),-50,4,-29
-46,0,-22,Left-Temporalpole (38),-48,4,-29
-64,2,-22,Outside defined BAs,-66,8,-29
-62,2,-22,Outside defined BAs,-64,7,-29
-60,2,-22,Outside defined BAs,-62,8,-29
-58,2,-22,Outside defined BAs,-60,7,-29
